date,commodity,admin1,unit,pricetype,predicted_price
2023-10-01,Millet,BRONG AHAFO,93 KG,Wholesale,556.0957195806932
2023-11-01,Millet,BRONG AHAFO,93 KG,Wholesale,556.0957195806932
2023-12-01,Millet,BRONG AHAFO,93 KG,Wholesale,556.0957195806932
2024-01-01,Millet,BRONG AHAFO,93 KG,Wholesale,556.0957195806932
2024-02-01,Millet,BRONG AHAFO,93 KG,Wholesale,556.0957195806932
2023-09-01,Onions,BRONG AHAFO,KG,Retail,7.126547777869649
2023-10-01,Onions,BRONG AHAFO,KG,Retail,7.126547777869649
2023-11-01,Onions,BRONG AHAFO,KG,Retail,7.126547777869649
2023-12-01,Onions,BRONG AHAFO,KG,Retail,7.126547777869649
2024-01-01,Onions,BRONG AHAFO,KG,Retail,7.175892091525728
2024-02-01,Onions,BRONG AHAFO,KG,Retail,7.175892091525728
2023-09-01,Peppers (dried),BRONG AHAFO,KG,Retail,7.050598477585019
2023-10-01,Peppers (dried),BRONG AHAFO,KG,Retail,7.050598477585019
2023-11-01,Peppers (dried),BRONG AHAFO,KG,Retail,7.050598477585019
2023-12-01,Peppers (dried),BRONG AHAFO,KG,Retail,7.050598477585019
2024-01-01,Peppers (dried),BRONG AHAFO,KG,Retail,7.08078256396837
2024-02-01,Peppers (dried),BRONG AHAFO,KG,Retail,7.08078256396837
2023-09-01,Peppers (fresh),BRONG AHAFO,KG,Retail,7.056539392030398
2023-10-01,Peppers (fresh),BRONG AHAFO,KG,Retail,7.056539392030398
2023-11-01,Peppers (fresh),BRONG AHAFO,KG,Retail,7.056539392030398
2023-12-01,Peppers (fresh),BRONG AHAFO,KG,Retail,7.056539392030398
2024-01-01,Peppers (fresh),BRONG AHAFO,KG,Retail,7.105883705686477
2024-02-01,Peppers (fresh),BRONG AHAFO,KG,Retail,7.105883705686477
2023-09-01,Plantains (apem),BRONG AHAFO,KG,Retail,7.126547777869649
2023-10-01,Plantains (apem),BRONG AHAFO,KG,Retail,7.126547777869649
2023-11-01,Plantains (apem),BRONG AHAFO,KG,Retail,7.126547777869649
2023-12-01,Plantains (apem),BRONG AHAFO,KG,Retail,7.126547777869649
2024-01-01,Plantains (apem),BRONG AHAFO,KG,Retail,7.175892091525728
2024-02-01,Plantains (apem),BRONG AHAFO,KG,Retail,7.175892091525728
2023-09-01,Plantains (apentu),ASHANTI,Bunch,Wholesale,112.50845884652067
2023-10-01,Plantains (apentu),ASHANTI,Bunch,Wholesale,112.50845884652067
2023-11-01,Plantains (apentu),ASHANTI,Bunch,Wholesale,112.50845884652067
2023-12-01,Plantains (apentu),ASHANTI,Bunch,Wholesale,112.50845884652067
2024-01-01,Plantains (apentu),ASHANTI,Bunch,Wholesale,81.15815987549348
2024-02-01,Plantains (apentu),ASHANTI,Bunch,Wholesale,107.56066670782734
2023-09-01,Rice (imported),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2023-10-01,Rice (imported),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2023-11-01,Rice (imported),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2023-12-01,Rice (imported),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2024-01-01,Rice (imported),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2024-02-01,Rice (imported),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2023-09-01,Rice (local),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2023-10-01,Rice (local),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2023-11-01,Rice (local),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2023-12-01,Rice (local),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2024-01-01,Rice (local),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2024-02-01,Rice (local),BRONG AHAFO,50 KG,Wholesale,520.787363736657
2023-09-01,Rice (paddy),ASHANTI,84 KG,Wholesale,520.787363736657
2023-10-01,Rice (paddy),ASHANTI,84 KG,Wholesale,520.787363736657
2023-11-01,Rice (paddy),ASHANTI,84 KG,Wholesale,520.787363736657
2023-12-01,Rice (paddy),ASHANTI,84 KG,Wholesale,520.787363736657
2024-01-01,Rice (paddy),ASHANTI,84 KG,Wholesale,520.787363736657
2024-02-01,Rice (paddy),ASHANTI,84 KG,Wholesale,520.787363736657
2023-09-01,Sorghum,BRONG AHAFO,109 KG,Wholesale,682.3182427224784
2023-10-01,Sorghum,BRONG AHAFO,109 KG,Wholesale,682.3182427224784
2023-11-01,Sorghum,BRONG AHAFO,109 KG,Wholesale,682.3182427224784
2023-12-01,Sorghum,BRONG AHAFO,109 KG,Wholesale,682.3182427224784
2024-01-01,Sorghum,BRONG AHAFO,109 KG,Wholesale,682.3182427224784
2024-02-01,Sorghum,BRONG AHAFO,109 KG,Wholesale,682.3182427224784
2023-09-01,Soybeans,BRONG AHAFO,KG,Retail,7.126547777869649
2023-10-01,Soybeans,BRONG AHAFO,KG,Retail,7.126547777869649
2023-11-01,Soybeans,BRONG AHAFO,KG,Retail,7.126547777869649
2023-12-01,Soybeans,BRONG AHAFO,KG,Retail,7.126547777869649
2024-01-01,Soybeans,BRONG AHAFO,KG,Retail,7.175892091525728
2024-02-01,Soybeans,BRONG AHAFO,KG,Retail,7.175892091525728
2023-09-01,Tomatoes (local),BRONG AHAFO,KG,Retail,7.126547777869649
2023-10-01,Tomatoes (local),BRONG AHAFO,KG,Retail,7.126547777869649
2023-11-01,Tomatoes (local),BRONG AHAFO,KG,Retail,7.126547777869649
2023-12-01,Tomatoes (local),BRONG AHAFO,KG,Retail,7.126547777869649
2024-01-01,Tomatoes (local),BRONG AHAFO,KG,Retail,7.175892091525728
2024-02-01,Tomatoes (local),BRONG AHAFO,KG,Retail,7.175892091525728
2023-09-01,Tomatoes (navrongo),BRONG AHAFO,KG,Retail,7.126547777869649
2023-10-01,Tomatoes (navrongo),BRONG AHAFO,KG,Retail,7.126547777869649
2023-11-01,Tomatoes (navrongo),BRONG AHAFO,KG,Retail,7.126547777869649
2023-12-01,Tomatoes (navrongo),BRONG AHAFO,KG,Retail,7.126547777869649
2024-01-01,Tomatoes (navrongo),BRONG AHAFO,KG,Retail,7.175892091525728
2024-02-01,Tomatoes (navrongo),BRONG AHAFO,KG,Retail,7.175892091525728
2023-09-01,Yam,BRONG AHAFO,100 Tubers,Wholesale,520.787363736657
2023-10-01,Yam,BRONG AHAFO,100 Tubers,Wholesale,520.787363736657
2023-11-01,Yam,BRONG AHAFO,100 Tubers,Wholesale,520.787363736657
2023-12-01,Yam,BRONG AHAFO,100 Tubers,Wholesale,520.787363736657
2024-01-01,Yam,BRONG AHAFO,100 Tubers,Wholesale,520.787363736657
2024-02-01,Yam,BRONG AHAFO,100 Tubers,Wholesale,520.787363736657
2023-09-01,Yam (puna),BRONG AHAFO,KG,Retail,7.172728124908502
2023-10-01,Yam (puna),BRONG AHAFO,KG,Retail,7.172728124908502
2023-11-01,Yam (puna),BRONG AHAFO,KG,Retail,7.172728124908502
2023-12-01,Yam (puna),BRONG AHAFO,KG,Retail,7.172728124908502
2024-01-01,Yam (puna),BRONG AHAFO,KG,Retail,7.222072438564582
2024-02-01,Yam (puna),BRONG AHAFO,KG,Retail,7.222072438564582
